Sample in Buffer,Sample in Window,TRIGGER,system_i/system_ila_1/inst/probe0_1[23:0]
0,0,0,c0a8c0
1,1,0,c0a8c0
2,2,0,c0a8c0
3,3,0,c0a8c0
4,4,0,c0a8c0
5,5,0,b8acc0
6,6,0,b8acc0
7,7,0,b8b0c0
8,8,0,b8b0c0
9,9,0,b0b0c0
10,10,0,b0b0c0
11,11,0,b0b0c0
12,12,0,b0b0c0
13,13,0,b0b0c0
14,14,0,b8acc0
15,15,0,b8acc0
16,16,0,b8acc0
17,17,0,b8acc0
18,18,0,b8acc0
19,19,0,b8acc0
20,20,0,b8acc0
21,21,0,b8acc0
22,22,0,b8acc0
23,23,0,b8acc0
24,24,0,b8acc0
25,25,0,b8a8c0
26,26,0,b8a8c0
27,27,0,b8a8c0
28,28,0,b8a8c0
29,29,0,b8a8c0
30,30,0,b8a8c0
31,31,0,b8a8c0
32,32,0,b8a8c0
33,33,0,b8a8c0
34,34,0,b8a8c0
35,35,0,b8a8c0
36,36,0,b8a8c0
37,37,0,b8a8c0
38,38,0,b8a8c0
39,39,0,b8a8c0
40,40,0,b8a8c0
41,41,0,b8a8c0
42,42,0,b8a8c0
43,43,0,b8a8c0
44,44,0,b8a8c0
45,45,0,b8a8c0
46,46,0,b0a8c0
47,47,0,b0a8c0
48,48,0,b0a8c0
49,49,0,b0a8c0
50,50,0,b0a8c0
51,51,0,b0a8c0
52,52,0,b0a8c0
53,53,0,b0a8c0
54,54,0,b0a8c0
55,55,0,b8acc0
56,56,0,b8acc0
57,57,0,b8a8c0
58,58,0,b8a8c0
59,59,0,b8a8c0
60,60,0,b8acb8
61,61,0,b8acb8
62,62,0,b8acb8
63,63,0,b8acb8
64,64,0,b8a8b8
65,65,0,b8a8b8
66,66,0,b8a8b8
67,67,0,b8a8b8
68,68,0,b8a8b8
69,69,0,b0a8c0
70,70,0,b0a8c0
71,71,0,b0a8c0
72,72,0,b0a8c0
73,73,0,b8a8c0
74,74,0,b8a8c0
75,75,0,b8a8c0
76,76,0,b8a8c0
77,77,0,b8a8c0
78,78,0,b8a8c0
79,79,0,b8a8c0
80,80,0,b8a8c0
81,81,0,b8a8c0
82,82,0,b8a8b8
83,83,0,b8a8b8
84,84,0,b8a8b8
85,85,0,b8a8b8
86,86,0,b8a8b8
87,87,0,b0a8c0
88,88,0,b0a8c0
89,89,0,b0a8c0
90,90,0,b0a8c0
91,91,0,b0acc0
92,92,0,b0a4c0
93,93,0,b0a4c0
94,94,0,b0a4c0
95,95,0,b0a4c0
96,96,0,b0a4c0
97,97,0,b0a4c0
98,98,0,b0a4c0
99,99,0,b0a4c0
100,100,0,b0a4c0
101,101,0,b0a4c0
102,102,0,b0a4c0
103,103,0,b0a4c0
104,104,0,b0a4c0
105,105,0,b0a4c0
106,106,0,b0a4c0
107,107,0,b0a4c0
108,108,0,b0a4c0
109,109,0,b0a4c0
110,110,0,b0a4c0
111,111,0,b0a4c0
112,112,0,b0a8c0
113,113,0,b0a8c0
114,114,0,b0a8c0
115,115,0,b0a8c0
116,116,0,b0a8c0
117,117,0,b0a8c0
118,118,0,b0a8c0
119,119,0,b0a8c0
120,120,0,b0a8c0
121,121,0,b0a4c0
122,122,0,b0a4c0
123,123,0,b0a4c0
124,124,0,b0a4b8
125,125,0,b0a4b8
126,126,0,b0a4b8
127,127,0,b0a4b8
128,128,0,b0a8b8
129,129,0,b0a8b8
130,130,0,b0a4b8
131,131,0,b0a4b8
132,132,0,b0a4b8
133,133,0,b0a4b8
134,134,0,b0a4b8
135,135,0,b0a4b8
136,136,0,b0a4b8
137,137,0,b0a4b8
138,138,0,b0a4b8
139,139,0,b0a4b8
140,140,0,b0a4b8
141,141,0,b0a4b8
142,142,0,b0a4b8
143,143,0,b0a4b8
144,144,0,b0a4b8
145,145,0,b0a4b8
146,146,0,b0a4b8
147,147,0,b0a4b8
148,148,0,b0a4b8
149,149,0,b0a4b8
150,150,0,b0a4b8
151,151,0,a8a4b8
152,152,0,a8a4b8
153,153,0,b0a8b8
154,154,0,b0a8b8
155,155,0,b0acf8
156,156,0,b0a4c0
157,157,0,b0a4c0
158,158,0,b0a4c0
159,159,0,b0a4c0
160,160,0,b0a0c0
161,161,0,b0a0c0
162,162,0,b0a0c0
163,163,0,b0a0c0
164,164,0,b0a0c0
165,165,0,b0a0b8
166,166,0,b0a0b8
167,167,0,b0a0b8
168,168,0,b0a0b8
169,169,0,b0a4b8
170,170,0,b0a4b8
171,171,0,b0a4b8
172,172,0,b0a4b8
173,173,0,b0a4b8
174,174,0,b0a4b8
175,175,0,b0a4b8
176,176,0,b0a4b8
177,177,0,b0a4b8
178,178,0,b0a0b8
179,179,0,b0a0b8
180,180,0,b0a0b8
181,181,0,b0a0b8
182,182,0,b0a0b8
183,183,0,b0a0c0
184,184,0,b0a0c0
185,185,0,b0a0c0
186,186,0,b0a0c0
187,187,0,b8a0b8
188,188,0,b8a0b8
189,189,0,b8a0b8
190,190,0,b8a0b8
191,191,0,b8a0b8
192,192,0,b0a0b8
193,193,0,b0a0b8
194,194,0,b0a0b8
195,195,0,b0a0b8
196,196,0,b0a0b8
197,197,0,b0a4b8
198,198,0,b0a4b8
199,199,0,b0a4b8
200,200,0,b0a4b8
201,201,0,a8a4b8
202,202,0,a8a4b8
203,203,0,a8a4b8
204,204,0,a8a4b8
205,205,0,a8a4b8
206,206,0,b0a4b8
207,207,0,b0a4b8
208,208,0,a8a4b8
209,209,0,a8a4b8
210,210,0,b0a4b8
211,211,0,b0a4b8
212,212,0,b0a4b8
213,213,0,b0a4b8
214,214,0,b0a4b8
215,215,0,a8a4b8
216,216,0,a8a4b8
217,217,0,a8a4b8
218,218,0,a8a4b8
219,219,0,b0a4f8
220,220,0,b0a4c0
221,221,0,b0a4c0
222,222,0,b0a0c0
223,223,0,b0a0c0
224,224,0,b0a0b8
225,225,0,b0a0b8
226,226,0,b0a0b8
227,227,0,b0a0b8
228,228,0,b0a0b8
229,229,0,b0a0b8
230,230,0,b0a0b8
231,231,0,b0a0b8
232,232,0,b0a0b8
233,233,0,b0a0b8
234,234,0,b0a0b8
235,235,0,b0a0b8
236,236,0,b0a0b8
237,237,0,b0a0b8
238,238,0,b0a0b0
239,239,0,b0a0b0
240,240,0,b0a0b0
241,241,0,b0a0b0
242,242,0,b0a0b0
243,243,0,b0a0b0
244,244,0,b0a0b0
245,245,0,b0a0b8
246,246,0,b0a0b8
247,247,0,b0a4b8
248,248,0,b0a4b8
249,249,0,b0a4b8
250,250,0,b0a4b8
251,251,0,b0a4b8
252,252,0,b0a4b8
253,253,0,b0a4b8
254,254,0,b0a4b8
255,255,0,b0a4b8
256,256,0,a8a4b8
257,257,0,a8a4b8
258,258,0,a8a4b8
259,259,0,a8a4b8
260,260,0,a8a4b8
261,261,0,a8a4b8
262,262,0,a8a4b8
263,263,0,a8a4b8
264,264,0,a8a4b8
265,265,0,a8a0b8
266,266,0,a8a0b8
267,267,0,a8a4b8
268,268,0,a8a4b8
269,269,0,a8a4b8
270,270,0,b0a0b8
271,271,0,b0a0b8
272,272,0,b0a0b8
273,273,0,b0a0b8
274,274,0,b0a0b0
275,275,0,b0a0b0
276,276,0,b0a0b0
277,277,0,b0a0b8
278,278,0,b0a0b8
279,279,0,b0a0b8
280,280,0,b0a0b8
281,281,0,b0a0b8
282,282,0,b0a0b8
283,283,0,b0a0b8
284,284,0,b0a0b8
285,285,0,b0a0b8
286,286,0,b0a0b8
287,287,0,b0a0b8
288,288,0,a8a0b8
289,289,0,a8a0b8
290,290,0,a8a0b8
291,291,0,a8a0b8
292,292,0,a8a0b8
293,293,0,b0a0b8
294,294,0,b0a0b8
295,295,0,b0a0b8
296,296,0,b0a0b8
297,297,0,b0a0b8
298,298,0,b0a0b8
299,299,0,b0a0b8
300,300,0,b0a0b0
301,301,0,b0a0b0
302,302,0,b0a0b0
303,303,0,b0a0b0
304,304,0,b0a0b8
305,305,0,b0a0b8
306,306,0,b0a0b8
307,307,0,b0a0b8
308,308,0,b0a0b8
309,309,0,b0a0b8
310,310,0,b0a0b8
311,311,0,b0a4b0
312,312,0,b0a4b0
313,313,0,b0a8b0
314,314,0,b0a8b0
315,315,0,b0a8b0
316,316,0,b0a8b0
317,317,0,b0a8b0
318,318,0,b0acb0
319,319,0,b0acb0
320,320,0,b0a8b0
321,321,0,b0a8b0
322,322,0,b0a8b0
323,323,0,b0a8b0
324,324,0,b0a8b0
325,325,0,b0a4b0
326,326,0,b0a4b0
327,327,0,b0a8b8
328,328,0,b0a8b8
329,329,0,b0a8b8
330,330,0,b0a8b8
331,331,0,b0a8b8
332,332,0,b0acb8
333,333,0,b0acb8
334,334,0,b8acb8
335,335,0,b8acb8
336,336,0,b8acb8
337,337,0,b8acb8
338,338,0,b8acb8
339,339,0,b8acb8
340,340,0,b8acb8
341,341,0,b8acc0
342,342,0,b8acc0
343,343,0,b8b0c0
344,344,0,b8b0c0
345,345,0,b8b0c0
346,346,0,b8b0c0
347,347,0,b8b0c0
348,348,0,b8b0c0
349,349,0,b8b0c0
350,350,0,b8b0c0
351,351,0,b8b0c0
352,352,0,b8b0c0
353,353,0,b8b0c0
354,354,0,b8b0c0
355,355,0,b8b0c0
356,356,0,b8b0c0
357,357,0,b8b0c8
358,358,0,b8b0c8
359,359,0,b8b0c8
360,360,0,b8b0c8
361,361,0,b8b0c0
362,362,0,b8b0c0
363,363,0,b8b0c0
364,364,0,b8b0c0
365,365,0,b8b0c0
366,366,0,b8b0c0
367,367,0,b8b0c0
368,368,0,b8b0c0
369,369,0,b8b0c0
370,370,0,b0b4c0
371,371,0,b0b4c0
372,372,0,b0b4c0
373,373,0,b0b4c0
374,374,0,b0b4c0
375,375,0,b0b4c0
376,376,0,b0b4c0
377,377,0,b0b0b8
378,378,0,b0b0b8
379,379,0,b0b0b8
380,380,0,b0b0b8
381,381,0,b0b0b8
382,382,0,b0b0b8
383,383,0,b0b0b8
384,384,0,b0b0b8
385,385,0,b0b0b8
386,386,0,a8acb8
387,387,0,a8acb8
388,388,0,a8acb8
389,389,0,a8a8b8
390,390,0,a8a8b8
391,391,0,a0a4b8
392,392,0,a0a4b8
393,393,0,a0a0b0
394,394,0,a0a0b0
395,395,0,a0a0b0
396,396,0,a09ca8
397,397,0,a09ca8
398,398,0,9898a8
399,399,0,9898a8
400,400,0,9094a0
401,401,0,9094a0
402,402,0,888ca0
403,403,0,888ca0
404,404,0,888ca0
405,405,0,8888a0
406,406,0,8888a0
407,407,0,808098
408,408,0,808098
409,409,0,787c98
410,410,0,787c98
411,411,0,787c98
412,412,0,787890
413,413,0,787890
414,414,0,707088
415,415,0,707088
416,416,0,687080
417,417,0,687080
418,418,0,686c80
419,419,0,686c80
420,420,0,686c80
421,421,0,686888
422,422,0,686888
423,423,0,686880
424,424,0,686880
425,425,0,606480
426,426,0,606480
427,427,0,606480
428,428,0,606480
429,429,0,606480
430,430,0,686480
431,431,0,686480
432,432,0,686888
433,433,0,686888
434,434,0,686888
435,435,0,686888
436,436,0,686888
437,437,0,686888
438,438,0,686888
439,439,0,586888
440,440,0,586888
441,441,0,586888
442,442,0,586888
443,443,0,606888
444,444,0,606888
445,445,0,606888
446,446,0,606488
447,447,0,606488
448,448,0,686488
449,449,0,686488
450,450,0,686488
451,451,0,686488
452,452,0,686488
453,453,0,606488
454,454,0,606488
455,455,0,606488
456,456,0,606488
457,457,0,606480
458,458,0,606480
459,459,0,606480
460,460,0,606480
461,461,0,606480
462,462,0,586488
463,463,0,586488
464,464,0,586488
465,465,0,586488
466,466,0,606488
467,467,0,606488
468,468,0,606488
469,469,0,586088
470,470,0,586088
471,471,0,586488
472,472,0,586488
473,473,0,586488
474,474,0,586488
475,475,0,606088
476,476,0,606088
477,477,0,606088
478,478,0,606088
479,479,0,606088
480,480,0,606088
481,481,0,606088
482,482,0,606088
483,483,0,606088
484,484,0,606088
485,485,0,686088
486,486,0,686088
487,487,0,686088
488,488,0,686088
489,489,0,686480
490,490,0,686480
491,491,0,686480
492,492,0,686480
493,493,0,686480
494,494,0,606480
495,495,0,606480
496,496,0,606480
497,497,0,606480
498,498,0,586880
499,499,0,586880
500,500,0,586880
501,501,0,586480
502,502,0,586480
503,503,0,586480
504,504,0,586480
505,505,0,586480
506,506,0,586480
507,507,0,586480
508,508,0,586480
509,509,0,586480
510,510,0,586880
511,511,0,586880
512,512,1,586880
513,513,0,586880
514,514,0,586880
515,515,0,586880
516,516,0,586880
517,517,0,586488
518,518,0,586488
519,519,0,506080
520,520,0,506080
521,521,0,586880
522,522,0,586880
523,523,0,586880
524,524,0,586880
525,525,0,586880
526,526,0,606088
527,527,0,606088
528,528,0,686088
529,529,0,686088
530,530,0,606488
531,531,0,606488
532,532,0,606488
533,533,0,586080
534,534,0,586080
535,535,0,586080
536,536,0,586080
537,537,0,586480
538,538,0,586480
539,539,0,586480
540,540,0,586480
541,541,0,586480
542,542,0,586480
543,543,0,586480
544,544,0,606888
545,545,0,606888
546,546,0,606480
547,547,0,606480
548,548,0,606480
549,549,0,606480
550,550,0,606480
551,551,0,606488
552,552,0,606488
553,553,0,686488
554,554,0,686488
555,555,0,686488
556,556,0,686488
557,557,0,686488
558,558,0,606888
559,559,0,606888
560,560,0,606880
561,561,0,606880
562,562,0,686480
563,563,0,686480
564,564,0,686480
565,565,0,606480
566,566,0,606480
567,567,0,686480
568,568,0,686480
569,569,0,686480
570,570,0,686480
571,571,0,686480
572,572,0,686480
573,573,0,686480
574,574,0,686480
575,575,0,686480
576,576,0,606480
577,577,0,606480
578,578,0,606488
579,579,0,606488
580,580,0,606488
581,581,0,606880
582,582,0,606880
583,583,0,606888
584,584,0,606888
585,585,0,606888
586,586,0,606888
587,587,0,606888
588,588,0,606888
589,589,0,606888
590,590,0,606488
591,591,0,606488
592,592,0,606480
593,593,0,606480
594,594,0,606480
595,595,0,606480
596,596,0,606480
597,597,0,606480
598,598,0,606480
599,599,0,606080
600,600,0,606080
601,601,0,606080
602,602,0,606080
603,603,0,586480
604,604,0,586480
605,605,0,586480
606,606,0,586480
607,607,0,586480
608,608,0,586878
609,609,0,586878
610,610,0,586878
611,611,0,586878
612,612,0,586878
613,613,0,586480
614,614,0,586480
615,615,0,586480
616,616,0,586480
617,617,0,606080
618,618,0,606080
619,619,0,606080
620,620,0,606080
621,621,0,606080
622,622,0,606480
623,623,0,606480
624,624,0,606480
625,625,0,606480
626,626,0,586480
627,627,0,586480
628,628,0,586480
629,629,0,606480
630,630,0,606480
631,631,0,586880
632,632,0,586880
633,633,0,506880
634,634,0,506880
635,635,0,506880
636,636,0,506880
637,637,0,506880
638,638,0,506480
639,639,0,506480
640,640,0,606080
641,641,0,606080
642,642,0,606480
643,643,0,606480
644,644,0,606480
645,645,0,606488
646,646,0,606488
647,647,0,606488
648,648,0,606488
649,649,0,506480
650,650,0,506480
651,651,0,506480
652,652,0,506480
653,653,0,506480
654,654,0,505880
655,655,0,505880
656,656,0,384070
657,657,0,384070
658,658,0,382850
659,659,0,382850
660,660,0,382850
661,661,0,302048
662,662,0,302048
663,663,0,282840
664,664,0,282840
665,665,0,282840
666,666,0,282840
667,667,0,303840
668,668,0,303040
669,669,0,303040
670,670,0,383440
671,671,0,383440
672,672,0,403848
673,673,0,403848
674,674,0,403848
675,675,0,403848
676,676,0,403848
677,677,0,403850
678,678,0,403850
679,679,0,403850
680,680,0,403850
681,681,0,403050
682,682,0,403050
683,683,0,403050
684,684,0,403450
685,685,0,403450
686,686,0,403448
687,687,0,403448
688,688,0,504058
689,689,0,504058
690,690,0,505050
691,691,0,505050
692,692,0,505050
693,693,0,606060
694,694,0,606060
695,695,0,606068
696,696,0,606068
697,697,0,585c60
698,698,0,585c60
699,699,0,585c60
700,700,0,605068
701,701,0,605068
702,702,0,605468
703,703,0,605468
704,704,0,605468
705,705,0,605468
706,706,0,685870
707,707,0,685870
708,708,0,685870
709,709,0,685c68
710,710,0,685c68
711,711,0,605868
712,712,0,605868
713,713,0,605868
714,714,0,605868
715,715,0,605868
716,716,0,605868
717,717,0,605868
718,718,0,605860
719,719,0,605860
720,720,0,605860
721,721,0,605860
722,722,0,605868
723,723,0,605868
724,724,0,605868
725,725,0,685c68
726,726,0,685c68
727,727,0,605c68
728,728,0,605c68
729,729,0,585460
730,730,0,585460
731,731,0,585460
732,732,0,585460
733,733,0,585460
734,734,0,585460
735,735,0,585460
736,736,0,585468
737,737,0,585468
738,738,0,585868
739,739,0,585868
740,740,0,585868
741,741,0,606468
742,742,0,606468
743,743,0,606870
744,744,0,606870
745,745,0,686068
746,746,0,686068
747,747,0,687068
748,748,0,585058
749,749,0,585058
750,750,0,605868
751,751,0,605868
752,752,0,605c68
753,753,0,605c68
754,754,0,606068
755,755,0,606068
756,756,0,606068
757,757,0,505058
758,758,0,505058
759,759,0,484048
760,760,0,484048
761,761,0,484048
762,762,0,484048
763,763,0,404048
764,764,0,404048
765,765,0,404048
766,766,0,484850
767,767,0,484850
768,768,0,504850
769,769,0,504850
770,770,0,504c50
771,771,0,504c50
772,772,0,504c50
773,773,0,505050
774,774,0,505050
775,775,0,505058
776,776,0,505058
777,777,0,585058
778,778,0,585058
779,779,0,585058
780,780,0,585458
781,781,0,585458
782,782,0,605460
783,783,0,605460
784,784,0,685460
785,785,0,685460
786,786,0,605860
787,787,0,605860
788,788,0,605860
789,789,0,605860
790,790,0,605860
791,791,0,585068
792,792,0,585068
793,793,0,585068
794,794,0,585068
795,795,0,484058
796,796,0,484050
797,797,0,484050
798,798,0,585060
799,799,0,585060
800,800,0,605860
801,801,0,605860
802,802,0,605c68
803,803,0,605c68
804,804,0,605c68
805,805,0,605c68
806,806,0,605c68
807,807,0,606068
808,808,0,606068
809,809,0,686068
810,810,0,686068
811,811,0,686078
812,812,0,686070
813,813,0,686070
814,814,0,606868
815,815,0,606868
816,816,0,586868
817,817,0,586868
818,818,0,585868
819,819,0,585868
820,820,0,585868
821,821,0,504c60
822,822,0,504c60
823,823,0,584c58
824,824,0,584c58
825,825,0,504450
826,826,0,504450
827,827,0,505450
828,828,0,403840
829,829,0,403840
830,830,0,282430
831,831,0,282430
832,832,0,282830
833,833,0,282830
834,834,0,282430
835,835,0,282430
836,836,0,282430
837,837,0,282030
838,838,0,282030
839,839,0,282030
840,840,0,282030
841,841,0,302430
842,842,0,302430
843,843,0,302430
844,844,0,302430
845,845,0,302430
846,846,0,302030
847,847,0,302030
848,848,0,302030
849,849,0,302030
850,850,0,302030
851,851,0,302030
852,852,0,302030
853,853,0,301c30
854,854,0,301c30
855,855,0,281c30
856,856,0,281c30
857,857,0,281c28
858,858,0,281c28
859,859,0,281c28
860,860,0,201c28
861,861,0,201c28
862,862,0,201c28
863,863,0,201c28
864,864,0,201c20
865,865,0,201c20
866,866,0,201c20
867,867,0,201c20
868,868,0,201c20
869,869,0,281c20
870,870,0,281c20
871,871,0,281c20
872,872,0,281c20
873,873,0,281c20
874,874,0,281c20
875,875,0,281c20
876,876,0,281c20
877,877,0,281c20
878,878,0,202020
879,879,0,202020
880,880,0,282828
881,881,0,282828
882,882,0,302830
883,883,0,302830
884,884,0,302830
885,885,0,302838
886,886,0,302838
887,887,0,302438
888,888,0,302438
889,889,0,302438
890,890,0,302438
891,891,0,302438
892,892,0,302838
893,893,0,302838
894,894,0,302838
895,895,0,302838
896,896,0,302c40
897,897,0,302c40
898,898,0,303040
899,899,0,303040
900,900,0,303040
901,901,0,302830
902,902,0,302830
903,903,0,403848
904,904,0,403848
905,905,0,505460
906,906,0,505460
907,907,0,585460
908,908,0,484c58
909,909,0,484c58
910,910,0,504c58
911,911,0,504c58
912,912,0,504c58
913,913,0,504c58
914,914,0,584c50
915,915,0,584c50
916,916,0,584c50
917,917,0,605058
918,918,0,605058
919,919,0,605860
920,920,0,605860
921,921,0,605860
922,922,0,605860
923,923,0,685860
924,924,0,685860
925,925,0,685860
926,926,0,685860
927,927,0,685860
928,928,0,705c60
929,929,0,705c60
930,930,0,706060
931,931,0,706060
932,932,0,706060
933,933,0,686468
934,934,0,686468
935,935,0,706468
936,936,0,706468
937,937,0,706c68
938,938,0,706c68
939,939,0,706c68
940,940,0,706c68
941,941,0,706c68
942,942,0,687068
943,943,0,687068
944,944,0,707068
945,945,0,707068
946,946,0,687070
947,947,0,687070
948,948,0,687070
949,949,0,707470
950,950,0,707470
951,951,0,707070
952,952,0,707070
953,953,0,707470
954,954,0,707470
955,955,0,787470
956,956,0,787470
957,957,0,787470
958,958,0,787470
959,959,0,787470
960,960,0,707478
961,961,0,707478
962,962,0,687470
963,963,0,687470
964,964,0,687470
965,965,0,687078
966,966,0,687078
967,967,0,687070
968,968,0,687070
969,969,0,686c70
970,970,0,686c70
971,971,0,686c70
972,972,0,686c68
973,973,0,686c68
974,974,0,606c70
975,975,0,606c70
976,976,0,606c70
977,977,0,606c70
978,978,0,606870
979,979,0,606870
980,980,0,606870
981,981,0,606868
982,982,0,606868
983,983,0,686468
984,984,0,686468
985,985,0,686468
986,986,0,686468
987,987,0,606468
988,988,0,606468
989,989,0,606468
990,990,0,606468
991,991,0,606468
992,992,0,606468
993,993,0,606468
994,994,0,606468
995,995,0,606468
996,996,0,606468
997,997,0,686068
998,998,0,686068
999,999,0,605c68
1000,1000,0,605c68
1001,1001,0,685c60
1002,1002,0,685c60
1003,1003,0,706868
1004,1004,0,706068
1005,1005,0,706068
1006,1006,0,686068
1007,1007,0,686068
1008,1008,0,686068
1009,1009,0,686068
1010,1010,0,686468
1011,1011,0,686468
1012,1012,0,686468
1013,1013,0,686468
1014,1014,0,686468
1015,1015,0,686468
1016,1016,0,686468
1017,1017,0,686068
1018,1018,0,686068
1019,1019,0,606468
1020,1020,0,606460
1021,1021,0,606460
1022,1022,0,606860
1023,1023,0,606860
